Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1983,.31,.25,.38,.22,.44,.23,.19,.69,-.07,.30,.58,.21,.41,-.03
1984,.16,.04,.27,.02,.19,.25,.37,.08,-.14,.07,.30,.16,.32,.47
1985,.12,.00,.23,-.03,.09,.29,.39,-.27,-.02,.04,.14,.30,.44,.00
1986,.18,.13,.23,.11,.23,.20,.01,.28,.03,.18,.28,.25,.25,-.10
1987,.32,.25,.40,.04,.59,.25,-.36,.13,.12,.55,.62,.32,.25,.02
1988,.38,.37,.40,.40,.37,.38,.59,.57,.24,.33,.42,.38,.20,.77
1989,.27,.27,.27,.41,.13,.33,.34,.69,.25,.07,.19,.36,.30,.30
1990,.45,.53,.37,.63,.37,.38,.58,.88,.49,.38,.36,.38,.37,.39
1991,.40,.41,.40,.47,.36,.39,.76,.66,.26,.32,.41,.31,.29,.89
1992,.22,.14,.30,.10,.29,.26,-.16,.44,-.03,.20,.37,.20,.33,.34
1993,.23,.19,.28,.12,.32,.22,.54,.29,-.11,.29,.36,.27,.39,-.32
1994,.32,.37,.26,.43,.32,.20,.34,.50,.42,.28,.35,.26,.23,-.05
1995,.45,.58,.32,.69,.43,.22,1.31,.98,.31,.40,.46,.29,.15,.15
1996,.33,.26,.39,.23,.32,.43,.77,.16,.10,.31,.33,.33,.28,1.20
1997,.47,.52,.42,.53,.51,.34,.76,.90,.22,.50,.53,.42,.36,.02
1998,.61,.70,.52,.78,.70,.33,.86,.94,.65,.60,.80,.39,.31,.18
1999,.39,.48,.29,.70,.21,.31,.40,.80,.74,.16,.26,.46,.19,.06
2000,.40,.50,.29,.70,.25,.29,.97,.80,.55,.21,.29,.42,.10,.28
2001,.54,.64,.44,.80,.43,.43,1.06,.86,.68,.40,.45,.58,.24,.31
2002,.63,.71,.54,.83,.60,.47,1.25,1.00,.58,.55,.64,.50,.32,.75
2003,.62,.75,.50,.84,.64,.38,1.50,.98,.54,.61,.67,.44,.24,.46
2004,.54,.66,.42,.73,.55,.34,.47,.95,.66,.56,.54,.48,.23,.07
2005,.68,.86,.51,1.02,.62,.43,1.99,1.22,.57,.62,.62,.49,.18,.72
2006,.64,.82,.46,.99,.56,.40,1.73,1.06,.70,.57,.55,.51,.19,.45
2007,.66,.85,.47,1.13,.47,.46,2.12,1.32,.69,.45,.48,.50,.07,1.17
2008,.54,.68,.40,.92,.38,.39,1.55,1.07,.62,.34,.42,.53,.09,.56
2009,.66,.73,.59,.78,.69,.50,1.43,.60,.69,.66,.72,.60,.15,.92
2010,.73,.90,.55,1.03,.69,.47,2.22,.86,.74,.72,.66,.64,.20,.48
2011,.61,.75,.47,.99,.38,.54,2.34,.93,.58,.39,.36,.64,.18,.98
2012,.64,.82,.47,1.04,.53,.40,2.21,.93,.74,.48,.58,.56,.19,.26
2013,.69,.80,.57,.95,.59,.55,1.55,1.04,.70,.58,.59,.63,.22,.99
2014,.75,.92,.57,1.07,.67,.51,2.04,1.12,.74,.69,.65,.72,.18,.52
2015,.90,1.18,.63,1.31,.96,.40,1.99,1.47,1.00,.98,.94,.75,.18,-.35
2016,1.02,1.31,.73,1.55,1.01,.49,3.24,1.43,1.08,.96,1.07,.67,.25,.36
2017,.92,1.18,.67,1.39,.82,.59,2.51,1.37,1.05,.87,.77,.76,.35,.53
2018,.85,1.04,.66,1.25,.68,.68,2.15,1.09,1.06,.73,.63,.80,.37,.93
2019,.98,1.21,.75,1.42,.90,.64,2.70,1.44,1.00,.91,.90,.75,.39,.83
